subject,scenario,base,adjusted_by,unit,per,correlation
core,any,yards,none,offense,play,0.44177569732236815
core,any,yards,none,offense,game,0.4415549537576927
any,any,yards,none,offense,game,0.4415549537576927
any,any,yards,none,offense,play,0.4402535239665083
passing,any,yards,none,offense,play,0.4392966275160937
passing,any,yards,opponent,offense,play,0.4380700668020478
core,any,yards,opponent,offense,play,0.4373713069858262
any,any,points,opponent,offense,game,0.4355233036001317
any,any,points,none,offense,game,0.4351186392300933
any,any,points,opponent,offense,play,0.4351013987387449
any,any,yards,opponent,offense,play,0.4347136524542063
any,any,points,none,offense,play,0.43215352662862877
any,any,yards,opponent,offense,game,0.43076835066407937
core,any,yards,opponent,offense,game,0.43076835066407937
passing,neutral,yards,opponent,offense,play,0.42445186186113076
core,any,epa,none,offense,drive,0.4212271397167072
core,any,points,none,offense,game,0.4209634640816912
core,any,epa,opponent,offense,drive,0.42085059535624403
passing,neutral,yards,none,offense,play,0.42028746088002156
core,neutral,yards,none,offense,play,0.41965023181906486
any,any,epa,none,offense,drive,0.41841375401693337
any,any,epa,opponent,offense,drive,0.4182334789631846
any,neutral,yards,none,offense,play,0.4178940429418238
any,neutral,points,opponent,offense,play,0.4174675571815504
core,any,epa,opponent,differential,play,0.4174348482361309
core,any,points,opponent,offense,game,0.41685232713679315
any,neutral,points,none,offense,play,0.4157129752867611
core,neutral,yards,opponent,offense,play,0.41554244352364017
passing,any,epa,opponent,offense,drive,0.4143381555585346
core,any,points,none,offense,play,0.4142022411265937
core,any,epa,opponent,differential,drive,0.4141562928024999
core,any,epa,opponent,differential,game,0.4133736073025963
any,neutral,yards,opponent,offense,play,0.41315678843610154
core,any,points,opponent,offense,play,0.4129289829470866
core,any,epa,opponent,offense,play,0.41166692011975115
any,any,epa,opponent,offense,play,0.4106275991594202
passing,any,epa,none,offense,drive,0.40955184520832627
core,any,epa,none,offense,play,0.40952398402574497
any,any,epa,opponent,differential,play,0.40942124274112196
passing,any,epa,opponent,differential,play,0.4092586075327207
any,any,epa,none,offense,play,0.4083107098326853
passing,any,epa,opponent,differential,drive,0.4082414561846348
core,any,epa,opponent,offense,game,0.4078531480748793
any,any,epa,opponent,offense,game,0.4068031247541206
passing,any,yards,none,offense,game,0.4066093003496255
core,any,epa,none,offense,game,0.40593942680784717
passing,any,epa,opponent,differential,game,0.4059112076546639
any,any,epa,opponent,differential,drive,0.4056620056374181
core,any,epa,none,differential,play,0.40549241777619666
core,any,epa,none,differential,drive,0.40543682754700006
any,any,epa,opponent,differential,game,0.4048276059584185
any,any,epa,none,offense,game,0.40478330773294147
passing,any,epa,opponent,offense,play,0.40474328658568065
passing,any,epa,opponent,offense,game,0.40453195611202386
core,any,points,opponent,differential,drive,0.4028042624958544
core,any,epa,none,differential,game,0.4027407354172177
passing,neutral,epa,opponent,offense,drive,0.40265354902244666
any,any,series_conversions,opponent,offense,play,0.40121895980921385
core,any,points,opponent,differential,game,0.400545732687595
core,neutral,epa,none,offense,drive,0.4003733379095926
passing,any,epa,none,offense,play,0.4002961522791094
core,any,series_conversions,opponent,offense,play,0.4000170975653759
passing,any,epa,none,differential,drive,0.39988562068462974
core,neutral,epa,opponent,offense,drive,0.3986970429837734
passing,any,epa,none,differential,play,0.39816320997290156
any,any,points,opponent,differential,game,0.39789932520669946
passing,any,epa,none,offense,game,0.3972380082799852
any,any,points,opponent,differential,drive,0.39709815633115214
any,any,epa,none,differential,play,0.39684370986771256
any,any,epa,none,differential,drive,0.39674682762720603
any,any,points,opponent,differential,play,0.39647388590356764
passing,any,epa,none,differential,game,0.396193604259285
core,any,points,opponent,offense,drive,0.39597849928531853
any,any,series_conversions,opponent,differential,play,0.3959533659020583
any,neutral,epa,none,offense,drive,0.3954676323841083
passing,neutral,epa,none,offense,drive,0.3951401673516155
any,neutral,epa,opponent,offense,drive,0.3947574903743708
passing,neutral,epa,opponent,offense,play,0.39465256333837617
any,any,points,opponent,offense,drive,0.3943751276014948
core,neutral,points,none,offense,play,0.39394267729943416
any,any,epa,none,differential,game,0.3936994129136638
core,neutral,points,opponent,offense,play,0.3927763818741884
passing,any,yards,opponent,offense,game,0.3920603488901202
core,any,series_conversions,opponent,differential,play,0.39147843375501684
core,any,points,none,offense,drive,0.3907669421353649
core,any,points,opponent,differential,play,0.39047617638969134
any,any,series_conversions,none,differential,play,0.39015903751337067
passing,neutral,epa,opponent,offense,game,0.38938033970011915
core,any,points,none,differential,drive,0.3881106233655824
passing,neutral,epa,opponent,differential,play,0.387541819826941
core,any,series_conversions,none,differential,play,0.3872025342546445
passing,neutral,epa,opponent,differential,drive,0.38707607340925215
core,any,points,none,differential,game,0.38704149299421414
any,any,points,none,offense,drive,0.3865508563240016
any,any,points,none,differential,game,0.3863623504763438
core,neutral,epa,opponent,offense,game,0.3859380136183574
any,any,points,none,differential,drive,0.3856074021710038
core,neutral,epa,none,offense,game,0.38537580621697987
passing,neutral,epa,none,offense,play,0.3852499861856803
core,neutral,epa,opponent,offense,play,0.38457550048006156
any,any,series_conversions,none,offense,play,0.3835702376991685
passing,any,yards,opponent,differential,play,0.38356640216736254
any,neutral,epa,opponent,offense,game,0.38351306819132447
core,neutral,epa,none,offense,play,0.38322759384599525
any,neutral,epa,opponent,offense,play,0.38264329340184466
passing,neutral,epa,none,differential,drive,0.3825870308652326
passing,neutral,epa,opponent,differential,game,0.38217420439650024
any,neutral,epa,none,offense,game,0.3819607297887276
core,any,series_conversions,none,offense,play,0.381314376082806
any,any,points,none,differential,play,0.3812899629276622
core,any,yards,opponent,differential,play,0.38069717803116176
any,neutral,epa,none,offense,play,0.3804094371173488
passing,neutral,epa,none,differential,play,0.3798661232185288
passing,neutral,epa,none,offense,game,0.37947718432863087
passing,neutral,epa,none,differential,game,0.3755710885786366
core,neutral,epa,opponent,differential,drive,0.37515860720336097
core,any,points,none,differential,play,0.3747206120583071
core,neutral,epa,opponent,differential,play,0.37468771732215433
passing,any,series_conversions,opponent,offense,play,0.37356061249664607
any,any,yards,opponent,differential,play,0.373116286668567
core,neutral,series_conversions,opponent,offense,play,0.3729700395075983
core,neutral,epa,none,differential,drive,0.3727916976389998
core,neutral,epa,opponent,differential,game,0.37240345007487197
rushing,any,series_conversions,opponent,offense,play,0.372056203480701
core,any,success,none,offense,game,0.37202032233191246
any,neutral,series_conversions,opponent,offense,play,0.3715013256132139
passing,any,yards,none,differential,play,0.37091703942531984
core,any,success,none,offense,play,0.37034675367189246
passing,neutral,series_conversions,opponent,offense,play,0.3695541340422978
core,neutral,epa,none,differential,play,0.3685207072253262
core,neutral,epa,none,differential,game,0.36705302836477144
any,neutral,epa,opponent,differential,drive,0.3669934386843823
any,neutral,epa,opponent,differential,play,0.3668169395397467
core,any,yards,none,differential,play,0.36638970974677004
core,neutral,points,none,offense,game,0.36582920617522563
core,any,success,none,offense,drive,0.36571598081082624
any,neutral,points,none,offense,game,0.36479082363115234
any,neutral,epa,none,differential,drive,0.3644251862945708
any,neutral,epa,opponent,differential,game,0.3641149473265848
any,neutral,points,opponent,offense,game,0.36372920778693413
passing,any,series_conversions,none,offense,play,0.3628760011082785
any,any,series_conversions,opponent,offense,game,0.3614157159041816
core,neutral,points,opponent,offense,game,0.36080101032127526
any,neutral,epa,none,differential,play,0.3598848121613517
any,any,yards,none,differential,play,0.3589215929366607
passing,any,series_conversions,opponent,differential,play,0.35888635950489395
passing,any,points,opponent,offense,play,0.3584857824798702
any,neutral,epa,none,differential,game,0.3581766268889008
passing,any,series_conversions,none,differential,play,0.35782222170894085
any,any,series_conversions,none,offense,game,0.35647724574847744
core,neutral,success,none,offense,play,0.3559262984903776
passing,neutral,success,none,offense,play,0.3553352656393155
any,any,success,none,offense,game,0.35460443882501924
rushing,any,series_conversions,none,offense,play,0.353409395816911
passing,neutral,points,opponent,offense,play,0.3520121538136582
any,any,success,none,offense,play,0.351901534696593
core,neutral,series_conversions,none,offense,play,0.35173932853375506
passing,any,success,none,offense,play,0.35153516526379375
any,neutral,series_conversions,none,offense,play,0.3508190034030459
any,any,success,none,offense,drive,0.348819975905353
passing,neutral,series_conversions,none,offense,play,0.34812496971489665
passing,any,success,none,offense,game,0.34723317084052674
any,neutral,points,opponent,differential,game,0.3470963308973818
core,neutral,yards,opponent,differential,play,0.34659713334673414
passing,any,points,none,offense,play,0.3465140760134368
core,any,yards,opponent,differential,drive,0.34622151522520966
passing,any,points,opponent,offense,game,0.34487433069239304
passing,neutral,yards,opponent,differential,play,0.34481049616241566
passing,neutral,success,none,offense,drive,0.3443295393702609
core,any,yards,none,differential,drive,0.3441854291329334
passing,any,success,none,offense,drive,0.3438479836842022
any,any,yards,opponent,differential,drive,0.34293676094722325
core,any,yards,opponent,differential,game,0.34277458182506215
any,any,yards,opponent,differential,game,0.34277458182506215
core,neutral,success,none,offense,game,0.34229625479794584
any,any,yards,none,differential,game,0.3421279792930902
core,any,yards,none,differential,game,0.3421279792930902
any,neutral,yards,opponent,differential,play,0.3420704857866601
any,any,yards,none,differential,drive,0.3418643939619196
core,neutral,success,none,offense,drive,0.34175346993179095
passing,neutral,series_conversions,opponent,differential,play,0.3408867990033593
core,neutral,series_conversions,opponent,differential,play,0.34046045370874095
core,any,success,opponent,offense,game,0.3389076277818546
any,neutral,points,none,differential,game,0.3385666231953599
core,any,series_conversions,opponent,offense,game,0.3383408560116534
core,neutral,points,opponent,offense,drive,0.3378143458313557
rushing,any,series_conversions,opponent,differential,play,0.33765806584722313
passing,neutral,success,none,offense,game,0.33753414761181666
any,neutral,series_conversions,opponent,differential,play,0.3370927062717971
rushing,any,series_conversions,none,differential,play,0.33698797567569166
core,neutral,series_conversions,none,differential,play,0.33690680293969855
passing,neutral,success,opponent,offense,play,0.33616222739761353
core,neutral,yards,none,differential,play,0.33596637903434534
core,any,success,none,differential,play,0.3356810470420938
core,any,success,opponent,offense,play,0.3350506942197132
any,neutral,points,opponent,differential,drive,0.3344127053457286
passing,neutral,yards,none,differential,play,0.334373043622262
passing,any,points,none,offense,game,0.334365262553555
core,any,success,none,differential,game,0.3343394254335327
core,any,series_conversions,none,offense,game,0.3334835901199682
passing,neutral,series_conversions,none,differential,play,0.332694633847112
any,neutral,series_conversions,none,differential,play,0.3324750685472014
passing,neutral,yards,opponent,differential,game,0.3323262702143157
